imsi,msisdn,status,mcc,mnc,operator,data_enabled,roaming_enabled,volte_enabled,registered_at,last_updated
452010000000018,+84970000018,active,452,01,Viettel,true,false,true,2022-02-03T14:00:00Z,2022-04-17T14:00:00Z
452010000000019,+84970000019,active,452,01,Viettel,true,false,true,2022-12-02T23:00:00Z,2023-01-22T23:00:00Z
452010000000020,+84970000020,active,452,01,Viettel,true,false,true,2022-03-15T16:00:00Z,2022-04-02T16:00:00Z
452010000000021,+84970000021,active,452,01,Viettel,true,false,true,2022-05-16T07:00:00Z,2022-07-30T07:00:00Z
452010000000022,+84970000022,active,452,01,Viettel,true,false,true,2022-07-05T15:00:00Z,2022-07-23T15:00:00Z
452010000000023,+84970000023,active,452,01,Viettel,true,false,true,2022-01-25T11:00:00Z,2022-02-14T11:00:00Z
452010000000024,+84970000024,active,452,01,Viettel,true,false,true,2022-08-06T03:00:00Z,2022-08-15T03:00:00Z
452010000000025,+84970000025,active,452,01,Viettel,true,false,true,2022-08-29T00:00:00Z,2022-10-01T00:00:00Z
452010000000026,+84970000026,active,452,01,Viettel,true,false,true,2022-01-07T05:00:00Z,2022-04-10T05:00:00Z
452010000000027,+84970000027,active,452,01,Viettel,true,false,true,2022-05-18T04:00:00Z,2022-07-01T04:00:00Z
452010000000028,+84970000028,active,452,01,Viettel,true,false,true,2022-08-21T08:00:00Z,2022-11-22T08:00:00Z
452010000000029,+84970000029,active,452,01,Viettel,true,false,true,2022-09-14T13:00:00Z,2022-11-18T13:00:00Z
452010000000030,+84970000030,active,452,01,Viettel,true,false,true,2022-06-03T04:00:00Z,2022-08-07T04:00:00Z
452010000000031,+84970000031,active,452,01,Viettel,true,false,true,2022-03-25T01:00:00Z,2022-07-03T01:00:00Z
452010000000032,+84970000032,active,452,01,Viettel,true,false,true,2022-11-03T18:00:00Z,2023-01-05T18:00:00Z
452010900000032,+84970000032,active,452,01,Viettel,true,false,true,2023-05-07T18:00:00Z,2023-05-07T18:00:00Z
452010000000033,+84970000033,active,452,01,Viettel,true,false,true,2022-06-07T15:00:00Z,2022-06-15T15:00:00Z
452010000000034,+84970000034,active,452,01,Viettel,true,false,true,2022-02-10T10:00:00Z,2022-05-15T10:00:00Z
452010000000035,+84970000035,active,452,01,Viettel,true,false,true,2022-09-30T12:00:00Z,2022-10-17T12:00:00Z
452010000000036,+84970000036,active,452,01,Viettel,true,false,true,2022-03-26T16:00:00Z,2022-06-02T16:00:00Z
452010000000037,+84970000037,active,452,01,Viettel,true,false,true,2022-04-20T01:00:00Z,2022-07-26T01:00:00Z
452010000000038,+84970000038,active,452,01,Viettel,true,false,true,2022-06-09T20:00:00Z,2022-09-03T20:00:00Z
452010000000039,+84970000039,active,452,01,Viettel,true,false,true,2022-09-22T22:00:00Z,2022-10-08T22:00:00Z
452010000000040,+84970000040,active,452,01,Viettel,true,false,true,2022-01-12T02:00:00Z,2022-03-24T02:00:00Z
452010000000041,+84970000041,active,452,01,Viettel,true,false,true,2022-02-07T06:00:00Z,2022-04-29T06:00:00Z
452010000000042,+84970000042,active,452,01,Viettel,true,false,true,2022-01-17T18:00:00Z,2022-01-27T18:00:00Z
452010000000043,+84970000043,active,452,01,Viettel,true,false,true,2022-09-06T14:00:00Z,2022-11-15T14:00:00Z
452010000000044,+84970000044,active,452,01,Viettel,true,false,true,2022-10-21T02:00:00Z,2022-12-21T02:00:00Z
452010000000045,+84970000045,active,452,01,Viettel,true,false,true,2022-07-28T14:00:00Z,2022-08-10T14:00:00Z
452010000000046,+84970000046,active,452,01,Viettel,true,false,true,2022-08-05T21:00:00Z,2022-10-04T21:00:00Z
452010000000047,+84970000047,active,452,01,Viettel,true,false,true,2022-12-02T04:00:00Z,2022-12-15T04:00:00Z
452010000000048,+84970000048,active,452,01,Viettel,true,false,true,2022-02-25T15:00:00Z,2022-03-22T15:00:00Z
452010000000049,+84970000049,active,452,01,Viettel,true,false,true,2022-08-05T13:00:00Z,2022-09-10T13:00:00Z
452010000000050,+84970000050,active,452,01,Viettel,true,false,true,2022-02-08T22:00:00Z,2022-04-20T22:00:00Z
452010000000051,+84970000051,active,452,01,Viettel,true,false,true,2022-10-04T08:00:00Z,2022-10-16T08:00:00Z
452010000000052,+84970000052,active,452,01,Viettel,true,false,true,2022-03-27T21:00:00Z,2022-05-29T21:00:00Z
452010000000053,+84970000053,active,452,01,Viettel,true,false,true,2022-01-31T13:00:00Z,2022-03-21T13:00:00Z
452010900000053,+84970000053,active,452,01,Viettel,true,false,true,2022-07-28T13:00:00Z,2022-07-28T13:00:00Z
452010000000054,+84970000054,active,452,01,Viettel,true,false,true,2022-08-21T17:00:00Z,2022-10-15T17:00:00Z
452010000000055,+84970000055,active,452,01,Viettel,true,false,true,2022-10-13T05:00:00Z,2023-01-13T05:00:00Z
452010000000056,+84970000056,active,452,01,Viettel,true,false,true,2022-04-22T09:00:00Z,2022-07-06T09:00:00Z
452010000000057,+84970000057,active,452,01,Viettel,true,false,true,2022-06-10T09:00:00Z,2022-06-17T09:00:00Z
452010000000058,+84970000058,active,452,01,Viettel,true,false,true,2022-09-29T13:00:00Z,2022-10-07T13:00:00Z
452010000000059,+84970000059,active,452,01,Viettel,true,false,true,2022-04-06T10:00:00Z,2022-06-22T10:00:00Z
452010000000060,+84970000060,active,452,01,Viettel,true,false,true,2022-07-26T11:00:00Z,2022-10-07T11:00:00Z
452010000000061,+84970000061,active,452,01,Viettel,true,false,true,2022-11-14T10:00:00Z,2023-01-07T10:00:00Z
452010000000062,+84970000062,active,452,01,Viettel,true,false,true,2022-06-11T16:00:00Z,2022-07-08T16:00:00Z
452010000000063,+84970000063,active,452,01,Viettel,true,false,true,2022-05-16T20:00:00Z,2022-06-02T20:00:00Z
452010000000064,+84970000064,active,452,01,Viettel,true,false,true,2022-06-11T10:00:00Z,2022-06-13T10:00:00Z
452010000000065,+84970000065,active,452,01,Viettel,true,false,true,2022-02-21T10:00:00Z,2022-05-01T10:00:00Z
452010000000066,+84970000066,active,452,01,Viettel,true,false,true,2022-06-28T10:00:00Z,2022-07-30T10:00:00Z
452010000000067,+84970000067,active,452,01,Viettel,true,false,true,2022-10-07T06:00:00Z,2022-11-15T06:00:00Z
452010000000068,+84970000068,active,452,01,Viettel,true,false,true,2022-12-02T00:00:00Z,2022-12-04T00:00:00Z
452010000000069,+84970000069,active,452,01,Viettel,true,false,true,2022-12-06T11:00:00Z,2022-12-24T11:00:00Z
452010000000070,+84970000070,active,452,01,Viettel,true,false,true,2022-10-11T12:00:00Z,2022-11-15T12:00:00Z
452010000000071,+84970000071,active,452,01,Viettel,true,false,true,2022-06-25T14:00:00Z,2022-09-21T14:00:00Z
452010000000072,+84970000072,active,452,01,Viettel,true,false,true,2022-09-08T16:00:00Z,2022-09-15T16:00:00Z
452010000000073,+84970000073,active,452,01,Viettel,true,false,true,2022-05-22T09:00:00Z,2022-05-23T09:00:00Z
452010000000074,+84970000074,active,452,01,Viettel,true,false,true,2022-05-15T13:00:00Z,2022-08-18T13:00:00Z
452010000000075,+84970000075,active,452,01,Viettel,true,false,true,2022-10-15T08:00:00Z,2022-10-30T08:00:00Z
452010000000076,+84970000076,active,452,01,Viettel,true,false,true,2022-03-19T01:00:00Z,2022-03-24T01:00:00Z
452010000000077,+84970000077,active,452,01,Viettel,true,false,true,2022-03-17T21:00:00Z,2022-04-03T21:00:00Z
452010000000078,+84970000078,active,452,01,Viettel,true,false,true,2022-01-21T19:00:00Z,2022-02-17T19:00:00Z
452010000000079,+84970000079,active,452,01,Viettel,true,false,true,2022-07-02T01:00:00Z,2022-08-24T01:00:00Z
452010000000080,+84970000080,active,452,01,Viettel,true,false,true,2022-05-02T13:00:00Z,2022-05-25T13:00:00Z
452010000000081,+84970000081,active,452,01,Viettel,true,false,true,2022-06-20T21:00:00Z,2022-09-14T21:00:00Z
452010000000082,+84970000082,active,452,01,Viettel,true,false,true,2022-05-17T13:00:00Z,2022-08-15T13:00:00Z
452010000000083,+84970000083,active,452,01,Viettel,true,false,true,2022-08-29T15:00:00Z,2022-09-24T15:00:00Z
452010000000084,+84970000084,active,452,01,Viettel,true,false,true,2022-06-06T15:00:00Z,2022-07-05T15:00:00Z
452010000000085,+84970000085,active,452,01,Viettel,true,false,true,2022-06-18T16:00:00Z,2022-06-27T16:00:00Z
452010000000086,+84970000086,active,452,01,Viettel,true,false,true,2022-11-26T00:00:00Z,2023-01-17T00:00:00Z
452010000000087,+84970000087,active,452,01,Viettel,true,false,true,2022-06-19T08:00:00Z,2022-07-04T08:00:00Z
452010000000088,+84970000088,active,452,01,Viettel,true,false,true,2022-10-25T16:00:00Z,2022-10-30T16:00:00Z
452010000000089,+84970000089,active,452,01,Viettel,true,false,true,2022-06-10T21:00:00Z,2022-08-27T21:00:00Z
452010000000090,+84970000090,active,452,01,Viettel,true,false,true,2022-10-23T14:00:00Z,2022-11-25T14:00:00Z
452010000000091,+84970000091,active,452,01,Viettel,true,false,true,2022-09-25T01:00:00Z,2022-12-22T01:00:00Z
452010000000092,+84970000092,active,452,01,Viettel,true,false,true,2022-12-10T14:00:00Z,2023-01-26T14:00:00Z
452010000000093,+84970000093,active,452,01,Viettel,true,false,true,2022-06-20T03:00:00Z,2022-07-31T03:00:00Z
452010000000094,+84970000094,active,452,01,Viettel,true,false,true,2022-06-04T00:00:00Z,2022-07-14T00:00:00Z
452010000000095,+84970000095,active,452,01,Viettel,true,false,true,2022-12-23T17:00:00Z,2023-03-04T17:00:00Z
452010000000096,+84970000096,active,452,01,Viettel,true,false,true,2022-07-15T05:00:00Z,2022-10-19T05:00:00Z
452010000000097,+84970000097,active,452,01,Viettel,true,false,true,2022-06-04T20:00:00Z,2022-08-14T20:00:00Z
452010000000098,+84970000098,active,452,01,Viettel,true,false,true,2022-04-18T21:00:00Z,2022-07-02T21:00:00Z
452010000000099,+84970000099,active,452,01,Viettel,true,false,true,2022-08-15T22:00:00Z,2022-11-10T22:00:00Z
452010000000100,+84970000100,active,452,01,Viettel,true,false,true,2022-03-29T05:00:00Z,2022-04-09T05:00:00Z
452010000000101,+84970000101,active,452,01,Viettel,true,false,true,2022-11-14T18:00:00Z,2022-11-26T18:00:00Z
452010000000102,+84970000102,active,452,01,Viettel,true,false,true,2022-12-11T17:00:00Z,2023-01-09T17:00:00Z
452010000000103,+84970000103,active,452,01,Viettel,true,false,true,2022-01-24T15:00:00Z,2022-03-26T15:00:00Z
452010000000104,+84970000104,active,452,01,Viettel,true,false,true,2022-08-22T21:00:00Z,2022-11-11T21:00:00Z
452010000000105,+84970000105,active,452,01,Viettel,true,false,true,2022-07-16T23:00:00Z,2022-09-06T23:00:00Z
452010000000106,+84970000106,active,452,01,Viettel,true,false,true,2022-01-03T11:00:00Z,2022-04-13T11:00:00Z
452010000000107,+84970000107,active,452,01,Viettel,true,false,true,2022-12-24T00:00:00Z,2023-02-22T00:00:00Z
452010000000108,+84970000108,active,452,01,Viettel,true,false,true,2022-03-04T22:00:00Z,2022-03-22T22:00:00Z
452010000000109,+84970000109,active,452,01,Viettel,true,false,true,2022-10-15T03:00:00Z,2022-11-25T03:00:00Z
452010000000110,+84970000110,active,452,01,Viettel,true,false,true,2022-11-11T07:00:00Z,2023-01-15T07:00:00Z
452010000000111,+84970000111,active,452,01,Viettel,true,false,true,2022-08-17T13:00:00Z,2022-11-21T13:00:00Z
452010000000112,+84970000112,active,452,01,Viettel,true,false,true,2022-05-08T04:00:00Z,2022-06-13T04:00:00Z
452010000000113,+84970000113,active,452,01,Viettel,true,false,true,2022-11-17T15:00:00Z,2022-12-23T15:00:00Z
452010000000114,+84970000114,active,452,01,Viettel,true,false,true,2022-05-01T16:00:00Z,2022-06-13T16:00:00Z
452010000000115,+84970000115,active,452,01,Viettel,true,false,true,2022-03-12T12:00:00Z,2022-04-11T12:00:00Z
452010000000116,+84970000116,active,452,01,Viettel,true,false,true,2022-04-20T10:00:00Z,2022-06-13T10:00:00Z
452010000000117,+84970000117,active,452,01,Viettel,true,false,true,2022-08-01T09:00:00Z,2022-08-28T09:00:00Z
452010000000118,+84970000118,active,452,01,Viettel,true,false,true,2022-10-28T06:00:00Z,2022-10-31T06:00:00Z
452010000000119,+84970000119,active,452,01,Viettel,true,false,true,2022-07-14T23:00:00Z,2022-07-15T23:00:00Z
452010000000120,+84970000120,active,452,01,Viettel,true,false,true,2022-07-19T21:00:00Z,2022-09-26T21:00:00Z
452010000000121,+84970000121,active,452,01,Viettel,true,false,true,2022-11-05T15:00:00Z,2023-01-07T15:00:00Z
452010000000122,+84970000122,active,452,01,Viettel,true,false,true,2022-01-15T20:00:00Z,2022-02-28T20:00:00Z
452010000000123,+84970000123,active,452,01,Viettel,true,false,true,2022-03-26T22:00:00Z,2022-04-12T22:00:00Z
452010000000124,+84970000124,active,452,01,Viettel,true,false,true,2022-07-22T02:00:00Z,2022-10-03T02:00:00Z
452010000000125,+84970000125,active,452,01,Viettel,true,false,true,2022-08-08T12:00:00Z,2022-10-07T12:00:00Z
452010000000126,+84970000126,active,452,01,Viettel,true,false,true,2022-06-17T14:00:00Z,2022-08-15T14:00:00Z
452010000000127,+84970000127,active,452,01,Viettel,true,false,true,2022-07-14T16:00:00Z,2022-10-19T16:00:00Z
452010000000128,+84970000128,active,452,01,Viettel,true,false,true,2022-02-11T23:00:00Z,2022-02-14T23:00:00Z
452010000000129,+84970000129,active,452,01,Viettel,true,false,true,2022-06-29T15:00:00Z,2022-09-21T15:00:00Z
452010000000130,+84970000130,active,452,01,Viettel,true,false,true,2022-01-21T08:00:00Z,2022-02-22T08:00:00Z
452010000000131,+84970000131,active,452,01,Viettel,true,false,true,2022-03-20T15:00:00Z,2022-04-06T15:00:00Z
452010000000132,+84970000132,active,452,01,Viettel,true,false,true,2022-04-22T22:00:00Z,2022-07-21T22:00:00Z
452010000000133,+84970000133,active,452,01,Viettel,true,false,true,2022-11-08T03:00:00Z,2023-02-12T03:00:00Z
452010000000134,+84970000134,active,452,01,Viettel,true,false,true,2022-03-25T17:00:00Z,2022-04-08T17:00:00Z
452010000000135,+84970000135,active,452,01,Viettel,true,false,true,2022-10-23T05:00:00Z,2022-12-11T05:00:00Z
452010000000136,+84970000136,active,452,01,Viettel,true,false,true,2022-02-09T02:00:00Z,2022-05-09T02:00:00Z
452010000000137,+84970000137,active,452,01,Viettel,true,false,true,2022-12-23T17:00:00Z,2023-03-21T17:00:00Z
452010000000138,+84970000138,active,452,01,Viettel,true,false,true,2022-10-17T09:00:00Z,2022-12-01T09:00:00Z
452010000000139,+84970000139,active,452,01,Viettel,true,false,true,2022-02-06T00:00:00Z,2022-04-30T00:00:00Z
452010000000140,+84970000140,active,452,01,Viettel,true,false,true,2022-09-08T11:00:00Z,2022-11-03T11:00:00Z
452010000000141,+84970000141,active,452,01,Viettel,true,false,true,2022-08-25T06:00:00Z,2022-09-14T06:00:00Z
452010000000142,+84970000142,active,452,01,Viettel,true,false,true,2022-11-30T16:00:00Z,2023-02-17T16:00:00Z
452010000000143,+84970000143,active,452,01,Viettel,true,false,true,2022-09-05T22:00:00Z,2022-10-31T22:00:00Z
452010000000144,+84970000144,active,452,01,Viettel,true,false,true,2022-06-15T15:00:00Z,2022-06-27T15:00:00Z
452010000000145,+84970000145,active,452,01,Viettel,true,false,true,2022-08-27T02:00:00Z,2022-11-14T02:00:00Z
452010000000146,+84970000146,active,452,01,Viettel,true,false,true,2022-09-11T18:00:00Z,2022-10-05T18:00:00Z
452010000000147,+84970000147,active,452,01,Viettel,true,false,true,2022-05-13T18:00:00Z,2022-06-18T18:00:00Z
452010000000148,+84970000148,active,452,01,Viettel,true,false,true,2022-05-23T01:00:00Z,2022-05-25T01:00:00Z
452010000000149,+84970000149,active,452,01,Viettel,true,false,true,2022-05-05T07:00:00Z,2022-06-27T07:00:00Z
452010000000150,+84970000150,active,452,01,Viettel,true,false,true,2022-12-20T23:00:00Z,2023-03-13T23:00:00Z
452010000000151,+84970000151,active,452,01,Viettel,true,false,true,2022-01-09T10:00:00Z,2022-02-16T10:00:00Z
452010000000152,+84970000152,active,452,01,Viettel,true,false,true,2022-06-07T05:00:00Z,2022-08-21T05:00:00Z
452010000000153,+84970000153,active,452,01,Viettel,true,false,true,2022-06-26T21:00:00Z,2022-09-30T21:00:00Z
452010000000154,+84970000154,active,452,01,Viettel,true,false,true,2022-08-21T16:00:00Z,2022-09-30T16:00:00Z
452010000000155,+84970000155,active,452,01,Viettel,true,false,true,2022-04-09T18:00:00Z,2022-04-25T18:00:00Z
452010000000156,+84970000156,active,452,01,Viettel,true,false,true,2022-12-20T13:00:00Z,2023-01-14T13:00:00Z
452010000000157,+84970000157,active,452,01,Viettel,true,false,true,2022-10-30T00:00:00Z,2023-01-15T00:00:00Z
452010000000158,+84970000158,active,452,01,Viettel,true,false,true,2022-04-10T17:00:00Z,2022-05-10T17:00:00Z
452010000000159,+84970000159,active,452,01,Viettel,true,false,true,2022-12-30T01:00:00Z,2023-01-16T01:00:00Z
452010000000160,+84970000160,active,452,01,Viettel,true,false,true,2022-10-11T17:00:00Z,2023-01-09T17:00:00Z
452010000000161,+84970000161,active,452,01,Viettel,true,false,true,2022-09-09T11:00:00Z,2022-09-11T11:00:00Z
452010000000162,+84970000162,active,452,01,Viettel,true,false,true,2022-08-14T18:00:00Z,2022-09-07T18:00:00Z
452010000000163,+84970000163,active,452,01,Viettel,true,false,true,2022-09-02T11:00:00Z,2022-09-11T11:00:00Z
452010000000164,+84970000164,active,452,01,Viettel,true,false,true,2022-11-20T05:00:00Z,2022-11-27T05:00:00Z
452010000000165,+84970000165,active,452,01,Viettel,true,false,true,2022-06-05T10:00:00Z,2022-07-07T10:00:00Z
452010000000166,+84970000166,active,452,01,Viettel,true,false,true,2022-11-08T03:00:00Z,2023-01-27T03:00:00Z
452010000000167,+84970000167,active,452,01,Viettel,true,false,true,2022-08-19T22:00:00Z,2022-09-27T22:00:00Z
452010000000168,+84970000168,active,452,01,Viettel,true,false,true,2022-06-07T02:00:00Z,2022-08-26T02:00:00Z
452010000000169,+84970000169,active,452,01,Viettel,true,false,true,2022-02-20T14:00:00Z,2022-05-12T14:00:00Z
452010000000170,+84970000170,active,452,01,Viettel,true,false,true,2022-03-22T15:00:00Z,2022-04-14T15:00:00Z
452010000000171,+84970000171,active,452,01,Viettel,true,false,true,2022-07-29T22:00:00Z,2022-10-26T22:00:00Z
452010000000172,+84970000172,active,452,01,Viettel,true,false,true,2022-04-29T17:00:00Z,2022-07-29T17:00:00Z
452010000000173,+84970000173,active,452,01,Viettel,true,false,true,2022-02-07T05:00:00Z,2022-03-09T05:00:00Z
452010000000174,+84970000174,active,452,01,Viettel,true,false,true,2022-11-18T02:00:00Z,2023-02-11T02:00:00Z
452010000000175,+84970000175,active,452,01,Viettel,true,false,true,2022-03-01T01:00:00Z,2022-03-30T01:00:00Z
452010000000176,+84970000176,active,452,01,Viettel,true,false,true,2022-03-14T10:00:00Z,2022-03-22T10:00:00Z
452010000000177,+84970000177,active,452,01,Viettel,true,false,true,2022-10-19T17:00:00Z,2022-12-15T17:00:00Z
452010000000178,+84970000178,active,452,01,Viettel,true,false,true,2022-12-25T20:00:00Z,2023-01-29T20:00:00Z
452010000000179,+84970000179,active,452,01,Viettel,true,false,true,2022-02-12T03:00:00Z,2022-02-18T03:00:00Z
452010000000180,+84970000180,active,452,01,Viettel,true,false,true,2022-11-06T16:00:00Z,2022-11-10T16:00:00Z
452010000000181,+84970000181,active,452,01,Viettel,true,false,true,2022-10-23T02:00:00Z,2022-10-26T02:00:00Z
452010000000182,+84970000182,active,452,01,Viettel,true,false,true,2022-05-19T02:00:00Z,2022-05-25T02:00:00Z
452010000000183,+84970000183,active,452,01,Viettel,true,false,true,2022-09-24T04:00:00Z,2022-11-20T04:00:00Z
452010000000184,+84970000184,active,452,01,Viettel,true,false,true,2022-10-27T21:00:00Z,2023-01-17T21:00:00Z
452010000000185,+84970000185,active,452,01,Viettel,true,false,true,2022-08-29T19:00:00Z,2022-10-21T19:00:00Z
452010000000186,+84970000186,active,452,01,Viettel,true,false,true,2022-03-24T18:00:00Z,2022-05-16T18:00:00Z
452010000000187,+84970000187,active,452,01,Viettel,true,false,true,2022-07-26T01:00:00Z,2022-07-31T01:00:00Z
452010000000188,+84970000188,active,452,01,Viettel,true,false,true,2022-06-15T11:00:00Z,2022-09-22T11:00:00Z
452010000000189,+84970000189,active,452,01,Viettel,true,false,true,2022-01-02T05:00:00Z,2022-03-13T05:00:00Z
452010000000190,+84970000190,active,452,01,Viettel,true,false,true,2022-09-23T19:00:00Z,2022-12-12T19:00:00Z
452010000000191,+84970000191,active,452,01,Viettel,true,false,true,2022-01-27T14:00:00Z,2022-03-03T14:00:00Z
452010000000192,+84970000192,active,452,01,Viettel,true,false,true,2022-08-14T06:00:00Z,2022-10-16T06:00:00Z
452010000000193,+84970000193,active,452,01,Viettel,true,false,true,2022-11-08T15:00:00Z,2023-02-07T15:00:00Z
452010000000194,+84970000194,active,452,01,Viettel,true,false,true,2022-10-10T21:00:00Z,2022-10-22T21:00:00Z
452010000000195,+84970000195,active,452,01,Viettel,true,false,true,2022-02-28T22:00:00Z,2022-03-16T22:00:00Z
452010000000196,+84970000196,active,452,01,Viettel,true,false,true,2022-05-31T00:00:00Z,2022-08-30T00:00:00Z
452010000000197,+84970000197,active,452,01,Viettel,true,false,true,2022-08-30T15:00:00Z,2022-10-28T15:00:00Z
452010000000198,+84970000198,active,452,01,Viettel,true,false,true,2022-11-04T00:00:00Z,2023-02-08T00:00:00Z
452010000000199,+84970000199,active,452,01,Viettel,true,false,true,2022-05-22T21:00:00Z,2022-07-05T21:00:00Z
452010000000200,+84970000200,active,452,01,Viettel,true,false,true,2022-01-02T17:00:00Z,2022-04-05T17:00:00Z
452010000000201,+84970000201,active,452,01,Viettel,true,false,true,2022-12-04T23:00:00Z,2022-12-24T23:00:00Z
452010000000202,+84970000202,active,452,01,Viettel,true,false,true,2022-06-21T01:00:00Z,2022-09-27T01:00:00Z
452010000000203,+84970000203,active,452,01,Viettel,true,false,true,2022-06-14T14:00:00Z,2022-09-12T14:00:00Z
452010000000204,+84970000204,active,452,01,Viettel,true,false,true,2022-07-30T09:00:00Z,2022-09-09T09:00:00Z
452010000000205,+84970000205,active,452,01,Viettel,true,false,true,2022-07-15T20:00:00Z,2022-10-08T20:00:00Z
452010000000206,+84970000206,active,452,01,Viettel,true,false,true,2022-03-19T23:00:00Z,2022-03-24T23:00:00Z
452010000000207,+84970000207,active,452,01,Viettel,true,false,true,2022-06-19T11:00:00Z,2022-08-15T11:00:00Z
452010000000208,+84970000208,active,452,01,Viettel,true,false,true,2022-01-09T07:00:00Z,2022-01-28T07:00:00Z
452010000000209,+84970000209,active,452,01,Viettel,true,false,true,2022-03-21T10:00:00Z,2022-05-21T10:00:00Z
452010000000210,+84970000210,active,452,01,Viettel,true,false,true,2022-11-17T06:00:00Z,2023-01-07T06:00:00Z
452010000000211,+84970000211,active,452,01,Viettel,true,false,true,2022-12-13T01:00:00Z,2023-01-31T01:00:00Z
452010000000212,+84970000212,active,452,01,Viettel,true,false,true,2022-09-08T01:00:00Z,2022-09-13T01:00:00Z
452010000000213,+84970000213,active,452,01,Viettel,true,false,true,2022-12-17T17:00:00Z,2023-01-16T17:00:00Z
452010000000214,+84970000214,active,452,01,Viettel,true,false,true,2022-02-21T04:00:00Z,2022-05-23T04:00:00Z
452010000000215,+84970000215,active,452,01,Viettel,true,false,true,2022-12-22T17:00:00Z,2022-12-26T17:00:00Z
452010000000216,+84970000216,active,452,01,Viettel,true,false,true,2022-05-31T19:00:00Z,2022-07-18T19:00:00Z
452010000000217,+84970000217,active,452,01,Viettel,true,false,true,2022-07-31T02:00:00Z,2022-10-27T02:00:00Z
452010000000218,+84970000218,active,452,01,Viettel,true,false,true,2022-02-11T03:00:00Z,2022-04-01T03:00:00Z
452010000000219,+84970000219,active,452,01,Viettel,true,false,true,2022-10-26T12:00:00Z,2022-11-25T12:00:00Z
452010000000220,+84970000220,active,452,01,Viettel,true,false,true,2022-05-12T05:00:00Z,2022-05-14T05:00:00Z
452010000000221,+84970000221,active,452,01,Viettel,true,false,true,2022-05-29T05:00:00Z,2022-08-07T05:00:00Z
452010000000222,+84970000222,active,452,01,Viettel,true,false,true,2022-06-27T02:00:00Z,2022-08-05T02:00:00Z
452010000000223,+84970000223,active,452,01,Viettel,true,false,true,2022-05-09T22:00:00Z,2022-06-17T22:00:00Z
452010000000224,+84970000224,active,452,01,Viettel,true,false,true,2022-09-05T11:00:00Z,2022-10-06T11:00:00Z
452010000000225,+84970000225,active,452,01,Viettel,true,false,true,2022-06-02T06:00:00Z,2022-07-10T06:00:00Z
452010000000226,+84970000226,active,452,01,Viettel,true,false,true,2022-07-22T16:00:00Z,2022-07-24T16:00:00Z
452010000000227,+84970000227,active,452,01,Viettel,true,false,true,2022-01-27T03:00:00Z,2022-05-03T03:00:00Z
452010000000228,+84970000228,active,452,01,Viettel,true,false,true,2022-05-27T15:00:00Z,2022-08-13T15:00:00Z
452010000000229,+84970000229,active,452,01,Viettel,true,false,true,2022-04-09T03:00:00Z,2022-05-12T03:00:00Z
452010000000230,+84970000230,active,452,01,Viettel,true,false,true,2022-12-05T05:00:00Z,2022-12-23T05:00:00Z
452010000000231,+84970000231,active,452,01,Viettel,true,false,true,2022-11-27T09:00:00Z,2023-01-06T09:00:00Z
452010000000232,+84970000232,active,452,01,Viettel,true,false,true,2022-07-07T07:00:00Z,2022-07-24T07:00:00Z
