acct_status_type,acct_session_id,acct_session_time,event_timestamp,ingest_timestamp,msisdn,imsi,imei,rat_type,framed_ip,nas_ip,mcc_mnc
Stop,SESS_0000000025,25,2026-01-23T12:00:00Z,2026-01-23T12:00:02Z,+84970000025,452010000000025,356123145622759,E-UTRAN,10.0.16.59,192.168.1.1,452-01
Start,SESS_0000000026,26,2026-01-24T09:36:00Z,2026-01-24T09:36:02Z,+84970000026,452010000000026,356123039670963,E-UTRAN,10.100.0.27,192.168.1.1,452-01
Stop,SESS_0000000027,27,2026-01-25T07:12:00Z,2026-01-25T10:12:00Z,+84970000027,452010000000027,356123120826276,E-UTRAN,10.100.0.28,192.168.1.1,452-01
Start,SESS_0000000028,28,2026-01-26T04:48:00Z,2026-01-26T04:48:02Z,+84970000028,452010000000028,356123173074196,E-UTRAN,10.100.0.29,192.168.1.1,452-01
Stop,SESS_0000000029,29,2026-01-27T02:24:00Z,2026-01-27T02:24:02Z,+84970000029,452010000000029,356123199284639,E-UTRAN,10.100.0.30,192.168.1.1,452-01
Start,SESS_0000000030,30,2026-01-28T00:00:00Z,2026-01-28T00:00:02Z,+84970000030,452010000000030,356123116053976,E-UTRAN,10.100.0.31,192.168.1.1,452-01
Stop,SESS_0000000031,31,2026-01-28T21:36:00Z,2026-01-28T21:36:02Z,+84970000031,452010000000031,356123067387977,E-UTRAN,10.100.0.32,192.168.1.1,452-01
Start,SESS_0000000032,32,2026-01-29T19:12:00Z,2026-01-29T19:12:02Z,+84970000032,452010000000032,356123020480505,E-UTRAN,10.100.0.33,192.168.1.1,452-01
Stop,SESS_0000000033,33,2026-01-30T16:48:00Z,2026-01-30T16:48:02Z,+84970000033,452010000000033,356123078106200,E-UTRAN,10.100.0.34,192.168.1.1,452-01
Start,SESS_0000000034,34,2026-01-31T14:24:00Z,2026-01-31T14:24:02Z,+84970000034,452010000000034,356123090836677,E-UTRAN,10.100.0.35,192.168.1.1,452-01
Stop,SESS_0000000035,35,2026-02-01T12:00:00Z,2026-02-01T12:00:02Z,+84970000035,452010000000035,356123079085734,E-UTRAN,10.100.0.36,192.168.1.1,452-01
Start,SESS_0000000036,36,2026-02-02T09:36:00Z,2026-02-02T09:36:02Z,+84970000036,452010000000036,356123033985912,E-UTRAN,10.100.0.37,192.168.1.1,452-01
Stop,SESS_0000000037,37,2026-02-03T07:12:00Z,2026-02-03T07:12:02Z,+84970000037,452010000000037,356123084754357,E-UTRAN,10.100.0.38,192.168.1.1,452-01
Start,SESS_0000000038,38,2026-02-04T04:48:00Z,2026-02-04T04:48:02Z,+84970000038,452010000000038,356123111705554,E-UTRAN,10.100.0.39,192.168.1.1,452-01
Start,SESS_0000000038,38,2026-02-04T04:48:00Z,2026-02-04T04:48:02Z,+84970000038,452010000000038,356123111705554,E-UTRAN,10.100.0.39,192.168.1.1,452-01
Stop,SESS_0000000039,39,2026-02-05T02:24:00Z,2026-02-05T02:24:02Z,+84970000039,452010000000039,356123113725287,E-UTRAN,10.100.0.40,192.168.1.1,452-01
Start,SESS_0000000040,40,2026-02-06T00:00:00Z,2026-02-06T00:00:02Z,+84970000040,452010000000040,356123067027292,E-UTRAN,10.100.0.41,192.168.1.1,452-01
Stop,SESS_0000000041,41,2026-02-06T21:36:00Z,2026-02-06T21:36:02Z,+84970000041,452010000000041,356123087359113,E-UTRAN,10.100.0.42,192.168.1.1,452-01
Start,SESS_0000000042,42,2026-02-07T19:12:00Z,2026-02-07T19:12:02Z,+84970000042,452010000000042,356123026387209,E-UTRAN,10.100.0.43,192.168.1.1,452-01
Stop,SESS_0000000043,43,2026-02-08T16:48:00Z,2026-02-08T16:48:02Z,+84970000043,452010000000043,356123055600860,E-UTRAN,10.100.0.44,192.168.1.1,452-01
Start,SESS_0000000044,44,2026-02-09T14:24:00Z,2026-02-09T14:24:02Z,+84970000044,452010000000044,356123071713390,E-UTRAN,10.100.0.45,192.168.1.1,452-01
Stop,SESS_0000000045,45,2026-02-10T12:00:00Z,2026-02-10T12:00:02Z,+84970000045,452010000000045,356123143978872,E-UTRAN,10.100.0.46,192.168.1.1,452-01
Start,SESS_0000000046,46,2026-02-11T09:36:00Z,2026-02-11T09:36:02Z,+84970000046,452010000000046,356123089703425,E-UTRAN,10.100.0.47,192.168.1.1,452-01
Stop,SESS_0000000047,47,2026-02-12T07:12:00Z,2026-02-12T07:12:02Z,+84970000047,452010000000047,356123172302838,E-UTRAN,10.100.0.48,192.168.1.1,452-01
Start,SESS_0000000048,48,2026-02-13T04:48:00Z,2026-02-13T04:48:02Z,+84970000048,452010000000048,356123108837949,E-UTRAN,10.100.0.49,192.168.1.1,452-01
Stop,SESS_0000000049,49,2026-02-14T02:24:00Z,2026-02-14T02:24:02Z,+84970000049,452010000000049,356123012401741,E-UTRAN,10.100.0.50,192.168.1.1,452-01
Start,SESS_0000000050,50,2026-02-15T00:00:00Z,2026-02-15T00:00:02Z,+84970000050,452010000000050,356123018441519,E-UTRAN,10.100.0.51,192.168.1.1,452-01
Stop,SESS_0000000051,51,2026-02-15T21:36:00Z,2026-02-15T21:36:02Z,+84970000051,452010000000051,356123104206511,E-UTRAN,10.100.0.52,192.168.1.1,452-01
Start,SESS_0000000052,52,2026-02-16T19:12:00Z,2026-02-16T19:12:02Z,+84970000052,452010000000052,356123080694037,E-UTRAN,10.100.0.53,192.168.1.1,452-01
Stop,SESS_0000000053,53,2026-02-17T16:48:00Z,2026-02-17T16:48:02Z,+84970000053,452010000000053,356123069574929,E-UTRAN,10.100.0.54,192.168.1.1,452-01
Start,SESS_0000000054,54,2026-02-18T14:24:00Z,2026-02-18T14:24:02Z,+84970000054,452010000000054,356123189189384,E-UTRAN,10.100.0.55,192.168.1.1,452-01
Stop,SESS_0000000055,55,2026-02-19T12:00:00Z,2026-02-19T12:00:02Z,+84970000055,452010000000055,356123102229556,E-UTRAN,10.100.0.56,192.168.1.1,452-01
Start,SESS_0000000056,56,2026-02-20T09:36:00Z,2026-02-20T09:36:02Z,+84970000056,452010000000056,356123154148506,E-UTRAN,10.100.0.57,192.168.1.1,452-01
Stop,SESS_0000000057,57,2026-02-21T07:12:00Z,2026-02-21T07:12:02Z,+84970000057,452010000000057,356123141498113,E-UTRAN,10.100.0.58,192.168.1.1,452-01
Start,SESS_0000000058,58,2026-02-22T04:48:00Z,2026-02-22T04:48:02Z,+84970000058,452010000000058,356123081464133,E-UTRAN,10.100.0.59,192.168.1.1,452-01
Stop,SESS_0000000059,59,2026-02-23T02:24:00Z,2026-02-23T02:24:02Z,+84970000059,452010000000059,356123077811776,E-UTRAN,10.100.0.60,192.168.1.1,452-01
Start,SESS_0000000060,60,2026-02-24T00:00:00Z,2026-02-24T00:00:02Z,+84970000060,452010000000060,356123175651587,E-UTRAN,10.100.0.61,192.168.1.1,452-01
Stop,SESS_0000000061,61,2026-02-24T21:36:00Z,2026-02-24T21:36:02Z,+84970000061,452010000000061,356123087833000,E-UTRAN,10.100.0.62,192.168.1.1,452-01
Start,SESS_0000000062,62,2026-02-25T19:12:00Z,2026-02-25T19:12:02Z,+84970000062,452010000000062,356123184492452,E-UTRAN,10.100.0.63,192.168.1.1,452-01
Stop,SESS_0000000063,63,2026-02-26T16:48:00Z,2026-02-26T16:48:02Z,+84970000063,452010000000063,356123184188019,E-UTRAN,10.100.0.64,192.168.1.1,452-01
Start,SESS_0000000064,64,2026-02-27T14:24:00Z,2026-02-27T14:24:02Z,+84970000064,452010000000064,356123112299748,E-UTRAN,10.100.0.65,192.168.1.1,452-01
Stop,SESS_0000000065,65,2026-02-28T12:00:00Z,2026-02-28T12:00:02Z,+84970000065,452010000000065,356123045342771,E-UTRAN,10.100.0.66,192.168.1.1,452-01
Start,SESS_0000000066,66,2026-03-01T09:36:00Z,2026-03-01T09:36:02Z,+84970000066,452010000000066,356123150953255,E-UTRAN,10.100.0.67,192.168.1.1,452-01
Stop,SESS_0000000067,67,2026-03-02T07:12:00Z,2026-03-02T07:12:02Z,+84970000067,452010000000067,356123019029313,E-UTRAN,10.100.0.68,192.168.1.1,452-01
Start,SESS_0000000068,68,2026-03-03T04:48:00Z,2026-03-03T04:48:02Z,+84970000068,452010000000068,356123031602659,E-UTRAN,10.100.0.69,192.168.1.1,452-01
Stop,SESS_0000000069,69,2026-03-04T02:24:00Z,2026-03-04T02:24:02Z,+84970000069,452010000000069,356123058305558,E-UTRAN,10.100.0.70,192.168.1.1,452-01
Start,SESS_0000000070,70,2026-03-05T00:00:00Z,2026-03-05T00:00:02Z,+84970000070,452010000000070,356123136253804,E-UTRAN,10.100.0.71,192.168.1.1,452-01
Stop,SESS_0000000071,71,2026-03-05T21:36:00Z,2026-03-05T21:36:02Z,+84970000071,452010000000071,356123024034571,E-UTRAN,10.100.0.72,192.168.1.1,452-01
Start,SESS_0000000072,72,2026-03-06T19:12:00Z,2026-03-06T19:12:02Z,+84970000072,4520109998454,356123126248343,E-UTRAN,10.100.0.73,192.168.1.1,452-01
Stop,SESS_0000000073,73,2026-03-07T16:48:00Z,2026-03-07T16:48:02Z,+84970000073,452010000000073,356123145548160,E-UTRAN,10.100.0.74,192.168.1.1,452-01
Start,SESS_0000000074,74,2026-03-08T14:24:00Z,2026-03-08T14:24:02Z,+84970000074,452010000000074,356123085800993,E-UTRAN,10.100.0.75,192.168.1.1,452-01
Stop,SESS_0000000075,75,2026-03-09T12:00:00Z,2026-03-09T12:00:02Z,+84970000075,452010000000075,356123007133283,E-UTRAN,10.100.0.76,192.168.1.1,452-01
Start,SESS_0000000076,76,2026-03-10T09:36:00Z,2026-03-10T12:36:00Z,+84970000076,452010000000076,356123037148251,E-UTRAN,10.100.0.77,192.168.1.1,452-01
Stop,SESS_0000000077,77,2026-03-11T07:12:00Z,2026-03-11T07:12:02Z,+84970000077,452010000000077,356123177873528,E-UTRAN,10.100.0.78,192.168.1.1,452-01
Start,SESS_0000000078,78,2026-03-12T04:48:00Z,2026-03-12T04:48:02Z,+84970000078,452010000000078,356123088059340,E-UTRAN,10.100.0.79,192.168.1.1,452-01
Stop,SESS_0000000079,79,2026-03-13T02:24:00Z,2026-03-13T02:24:02Z,+84970000079,452010000000079,356123101169704,E-UTRAN,10.100.0.80,192.168.1.1,452-01
Start,SESS_0000000080,80,2026-03-14T00:00:00Z,2026-03-14T00:00:02Z,+84970000080,452010000000080,356123094558848,E-UTRAN,10.100.0.81,192.168.1.1,452-01
Stop,SESS_0000000081,81,2026-03-14T21:36:00Z,2026-03-14T21:36:02Z,+84970000081,452010000000081,356123054757638,E-UTRAN,10.100.0.82,192.168.1.1,452-01
Start,SESS_0000000082,82,2026-03-15T19:12:00Z,2026-03-15T19:12:02Z,+84970000082,452010000000082,356123007571680,E-UTRAN,10.100.0.83,192.168.1.1,452-01
Stop,SESS_0000000083,83,2026-03-16T16:48:00Z,2026-03-16T16:48:02Z,+84970000083,452010000000083,356123085249027,E-UTRAN,10.100.0.84,192.168.1.1,452-01
Start,SESS_0000000084,84,2026-03-17T14:24:00Z,2026-03-17T14:24:02Z,+84970000084,452010000000084,356123055323422,E-UTRAN,10.100.0.85,192.168.1.1,452-01
Stop,SESS_0000000085,85,2026-03-18T12:00:00Z,2026-03-18T12:00:02Z,+84970000085,452010000000085,356123039128046,E-UTRAN,10.100.0.86,192.168.1.1,452-01
Start,SESS_0000000086,86,2026-03-19T09:36:00Z,2026-03-19T09:36:02Z,+84970000086,452010000000086,356123098825540,E-UTRAN,10.100.0.87,192.168.1.1,452-01
Stop,SESS_0000000087,87,2026-03-20T07:12:00Z,2026-03-20T07:12:02Z,+84970000087,452010000000087,356123166385518,E-UTRAN,10.100.0.88,192.168.1.1,452-01
Start,SESS_0000000088,88,2026-03-21T04:48:00Z,2026-03-21T04:48:02Z,+84970000088,452010000000088,356123061602637,E-UTRAN,10.100.0.89,192.168.1.1,452-01
Stop,SESS_0000000089,89,2026-03-22T02:24:00Z,2026-03-22T02:24:02Z,+84970000089,452010000000089,356123117995506,E-UTRAN,10.100.0.90,192.168.1.1,452-01
Start,SESS_0000000090,90,2026-03-23T00:00:00Z,2026-03-23T00:00:02Z,+84970000090,452010000000090,356123055655799,E-UTRAN,10.100.0.91,192.168.1.1,452-01
Stop,SESS_0000000091,91,2026-03-23T21:36:00Z,2026-03-23T21:36:02Z,+84970000091,452010000000091,356123169631108,E-UTRAN,10.100.0.92,192.168.1.1,452-01
Start,SESS_0000000092,92,2026-03-24T19:12:00Z,2026-03-24T19:12:02Z,+84970000092,452010000000092,356123006280382,E-UTRAN,10.100.0.93,192.168.1.1,452-01
Stop,SESS_0000000093,93,2026-03-25T16:48:00Z,2026-03-25T16:48:02Z,+84970000093,452010000000093,356123105123400,E-UTRAN,10.100.0.94,192.168.1.1,452-01
Start,SESS_0000000094,94,2026-03-26T14:24:00Z,2026-03-26T14:24:02Z,+84970000094,452010000000094,356123001173012,E-UTRAN,10.100.0.95,192.168.1.1,452-01
Stop,SESS_0000000095,95,2026-03-27T12:00:00Z,2026-03-27T12:00:02Z,+84970000095,452010000000095,356123119214062,E-UTRAN,10.100.0.96,192.168.1.1,452-01
Start,SESS_0000000096,96,2026-03-28T09:36:00Z,2026-03-28T09:36:02Z,+84970000096,452010000000096,356123092510833,E-UTRAN,10.100.0.97,192.168.1.1,452-01
Stop,SESS_0000000097,97,2026-03-29T07:12:00Z,2026-03-29T07:12:02Z,+84970000097,452010000000097,356123012525721,E-UTRAN,10.100.0.98,192.168.1.1,452-01
Start,SESS_0000000098,98,2026-03-30T04:48:00Z,2026-03-30T04:48:02Z,+84970000098,452010000000098,356123189929482,E-UTRAN,10.100.0.99,192.168.1.1,452-01
Stop,SESS_0000000099,99,2026-03-31T02:24:00Z,2026-03-31T02:24:02Z,+84970000099,452010000000099,356123020898144,E-UTRAN,10.100.0.100,192.168.1.1,452-01
